Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,duration_mins,genres_list,primary_genre,text_features
James and the Giant Peach,Roald Dahl,4.7,1704.0,615,Brought to you by Penguin.,3 hours and 18 minutes,",#3,684 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#47 in Fiction Classics for Children,#74 in Fantasy & Magic for Children,#2,335 in Children's Fantasy (Books)",198,"['Fiction Classics for Children', 'Fantasy & Magic for Children']",Fiction Classics for Children,Brought to you by Penguin. Fiction Classics for Children Roald Dahl
Carry On,Rainbow Rowell,4.6,1703.0,323,"Simon Snow just wants to relax and savour his last year at the Watford School of Magicks, but no one will let him. His girlfriend broke up with him, his best friend is a pest and his mentor keeps trying to hide him away in the mountains, where maybe he'll be safe.",-1,-1,0,[],Other,"Simon Snow just wants to relax and savour his last year at the Watford School of Magicks, but no one will let him. His girlfriend broke up with him, his best friend is a pest and his mentor keeps trying to hide him away in the mountains, where maybe he'll be safe. Other Rainbow Rowell"
My Lovely Wife,Samantha Downing,4.3,1701.0,888,"Penguin presents the audiobook edition of My Lovely Wife, by Samantha Downing",10 hours and 13 minutes,",#1,295 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Domestic Thrillers,#14 in Family Life Fiction,#19 in Psychological Thrillers",613,"['Domestic Thrillers', 'Family Life Fiction', 'Psychological Thrillers']",Domestic Thrillers,"Penguin presents the audiobook edition of My Lovely Wife, by Samantha Downing Domestic Thrillers Samantha Downing"
The Undoing Project: A Friendship That Changed the World,Michael Lewis,4.3,1697.0,752,"Daniel Kahneman and Amos Tversky met in war-torn 1960s Israel. Both were gifted young psychology professors: Kahneman a rootless son of Holocaust survivors who saw the world as a problem to be solved, Tversky a voluble, instinctual blur of energy.",10 hours and 17 minutes,",#2,058 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Business Decision Making & Problem Solving,#39 in Microeconomics (Books),#74 in Economics (Audible Audiobooks & Originals)",617,"['Business Decision Making & Problem Solving', 'Microeconomics (Books)']",Business Decision Making & Problem Solving,"Daniel Kahneman and Amos Tversky met in war-torn 1960s Israel. Both were gifted young psychology professors: Kahneman a rootless son of Holocaust survivors who saw the world as a problem to be solved, Tversky a voluble, instinctual blur of energy. Business Decision Making & Problem Solving Michael Lewis"
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.3,1689.0,837,"""You'll not only break the ice, you'll melt it away with your new skills."" -Larry King",8 hours and 59 minutes,",#272 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Business Communication (Audible Audiobooks & Originals),#5 in Communication & Social Skills,#470 in Analysis & Strategy",539,"['Communication & Social Skills', 'Analysis & Strategy']",Communication & Social Skills,"""You'll not only break the ice, you'll melt it away with your new skills."" -Larry King Communication & Social Skills Leil Lowndes"
Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Robert T. Kiyosaki,4.6,1687.0,837,"Rich Dad’s Cashflow Quadrant reveals how some people work less, earn more, pay less in taxes, and learn to become financially free. Have you ever asked yourself:",8 hours and 48 minutes,",#682 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#35 in Personal Finance,#43 in Investing & Trading,#1,577 in Business & Economics",528,"['Personal Finance', 'Investing & Trading']",Personal Finance,"Rich Dad’s Cashflow Quadrant reveals how some people work less, earn more, pay less in taxes, and learn to become financially free. Have you ever asked yourself: Personal Finance Robert T. Kiyosaki"
Super Attractor: Methods for Manifesting a Life Beyond Your Wildest Dreams,Gabrielle Bernstein,4.7,1681.0,1003,Ready to turn what you want into the life that you live? The number-one New York Times best-selling author of The Universe Has Your Back shows you how.,6 hours and 25 minutes,",#252 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in New Thought Spirituality,#52 in Personal Success,#289 in Mind, Body & Spirit",385,"['New Thought Spirituality', 'Personal Success', 'Mind']",New Thought Spirituality,Ready to turn what you want into the life that you live? The number-one New York Times best-selling author of The Universe Has Your Back shows you how. New Thought Spirituality Gabrielle Bernstein
Seriously...I'm Kidding,Ellen DeGeneres,4.1,1679.0,500,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other Ellen DeGeneres"
Great Stories for Children,Ruskin Bond,4.5,1678.0,501,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Ruskin Bond"
"We Are Legion (We Are Bob): Bobiverse, Book 1",Dennis E. Taylor,4.6,1671.0,668,"There's a reason We Are Legion, We Are Bob was named Audible's Best Science Fiction Book of 2016: its irresistibly irreverent wit! Bob Johansson has just sold his software company for a small fortune and is looking forward to a life of leisure. The first item on his to-do list: spending his newfound windfall. On an urge to splurge, he signs up to have his head cryogenically preserved in case of death. Then he gets himself killed crossing the street. Waking up 117 years later, Bob discovers his mind has been uploaded into a sentient space probe with the ability to replicate itself. Bob and his clones are on a mission to find new homes for humanity and boldly go where no Bob has gone before.",9 hours and 56 minutes,",#2,464 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in First Contact Science Fiction,#5 in Hard Science Fiction,#599 in Science Fiction (Books)",596,"['First Contact Science Fiction', 'Hard Science Fiction', 'Science Fiction (Books)']",First Contact Science Fiction,"There's a reason We Are Legion, We Are Bob was named Audible's Best Science Fiction Book of 2016: its irresistibly irreverent wit! Bob Johansson has just sold his software company for a small fortune and is looking forward to a life of leisure. The first item on his to-do list: spending his newfound windfall. On an urge to splurge, he signs up to have his head cryogenically preserved in case of de First Contact Science Fiction Dennis E. Taylor"
"The Bulletproof Diet: Lose Up to a Pound a Day, Reclaim Your Energy and Focus, and Upgrade Your Life",Dave Asprey,4.3,1670.0,820,"In his mid-20s, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 300 pounds, despite the fact that he was doing what doctors recommended: eating 1,800 calories a day and working out 90 minutes a day, six times a week.",-1,-1,0,[],Other,"In his mid-20s, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 300 pounds, despite the fact that he was doing what doctors recommended: eating 1,800 calories a day and working out 90 minutes a day, six times a week. Other Dave Asprey"
Percy Jackson and the Greek Gods,Rick Riordan,4.7,1668.0,888,Who could tell the true stories of the gods and goddesses of Olympus better than modern-day demigod Percy Jackson?,12 hours and 23 minutes,",#3,812 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#102 in Science Fiction (Audible Audiobooks & Originals),#1,096 in Science Fiction (Books),#2,424 in Children's Fantasy (Books)",743,[],Other,Who could tell the true stories of the gods and goddesses of Olympus better than modern-day demigod Percy Jackson? Other Rick Riordan
Why Not Me?,Mindy Kaling,4.6,1666.0,615,"Mindy Kaling has found herself at a turning point. So in Why Not Me?, she shares her ongoing journey to find fulfilment and adventure in her adult life, be it falling in love at work, seeking new friendships in unlikely places, or attempting to be the first person in history to lose weight without any behaviour modification whatsoever.",4 hours and 57 minutes,",#5,115 in Biographies & Autobiographies (Books)",297,[],Other,"Mindy Kaling has found herself at a turning point. So in Why Not Me?, she shares her ongoing journey to find fulfilment and adventure in her adult life, be it falling in love at work, seeking new friendships in unlikely places, or attempting to be the first person in history to lose weight without any behaviour modification whatsoever. Other Mindy Kaling"
Ego Is the Enemy,Ryan Holiday,4.5,1665.0,586,"""While the history books are filled with tales of obsessive visionary geniuses who remade the world in their images with sheer, almost irrational force, I've found that history is also made by individuals who fought their egos at every turn, who eschewed the spotlight, and who put their higher goals above their desire for recognition."" (From the prologue)",6 hours and 56 minutes,",#857 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#39 in Business Motivation & Self-Improvement,#152 in Personal Success,#1,372 in Analysis & Strategy",416,"['Business Motivation & Self-Improvement', 'Personal Success']",Business Motivation & Self-Improvement,"""While the history books are filled with tales of obsessive visionary geniuses who remade the world in their images with sheer, almost irrational force, I've found that history is also made by individuals who fought their egos at every turn, who eschewed the spotlight, and who put their higher goals above their desire for recognition."" (From the prologue) Business Motivation & Self-Improvement Ryan Holiday"
False Impression,Anton Lesser,4.5,1664.0,323,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Anton Lesser"
The Runaway Bunny: Including: The Story of Babar & Goodnight Moon,Margaret Wise Brown,4.7,1663.0,398,"Runaway Bunny, The Story of Babar: The Little Elephant, and Goodnight Moon are national treasures and many of us remember them from our childhoods.",-1,-1,0,[],Other,"Runaway Bunny, The Story of Babar: The Little Elephant, and Goodnight Moon are national treasures and many of us remember them from our childhoods. Other Margaret Wise Brown"
"Keto Clarity: Your Definitive Guide to the Benefits of a Low-Carb, High-Fat Diet",Eric C. Westman MD,4.5,1663.0,668,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Eric C. Westman MD"
The Moment of Lift: How Empowering Women Changes the World,Melinda Gates,4.6,1660.0,323,Winner of The Audiofile Earphones Award 2019 and Audiofile Best Audiobooks of The Year 2019.,7 hours and 54 minutes,",#1,884 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Philanthropy & Charity,#6 in Women's Studies,#17 in Women Biographies",474,"['Philanthropy & Charity', ""Women's Studies"", 'Women Biographies']",Philanthropy & Charity,Winner of The Audiofile Earphones Award 2019 and Audiofile Best Audiobooks of The Year 2019. Philanthropy & Charity Melinda Gates
Crushing: God Turns Pressure into Power,T. D. Jakes,4.8,1653.0,469,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other T. D. Jakes"
The Prophet,Khalil Gibran,4.4,1645.0,93,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other Khalil Gibran"
A Squash and a Squeeze,Imelda Staunton,4.8,1643.0,323,"Visit the farm in this audio edition of A Squash and a Squeeze, read by Imelda Staunton and Steven Pacey - the first ever book from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. This audiobook also includes a read-along track, a song and an instrumental.",23 minutes,",#4,222 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#275 in Literature & Fiction for Children,#8,137 in Children's Literature & Fiction (Books)",23,['Literature & Fiction for Children'],Literature & Fiction for Children,"Visit the farm in this audio edition of A Squash and a Squeeze, read by Imelda Staunton and Steven Pacey - the first ever book from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. This audiobook also includes a read-along track, a song and an instrumental. Literature & Fiction for Children Imelda Staunton"
101 Panchtantra Stories,Dreamland Publications,4.3,1625.0,233,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection.",1 hour and 41 minutes,",#536 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Fairy Tales, Folk Tales & Myths for Children,#30 in Literature & Fiction for Children,#184 in Children's Traditional Stories (Books)",101,"['Fairy Tales', 'Literature & Fiction for Children', ""Children's Traditional Stories (Books)""]",Fairy Tales,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection. Fairy Tales Dreamland Publications"
Time Management (Hindi Edition),Sudhir Dixit,4.4,1625.0,233,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other Sudhir Dixit"
Tiddler,Julia Donaldson,4.8,1624.0,190,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,0,[],Other,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies. Other Julia Donaldson"
The Land of Stories: The Wishing Spell: Booktrack Edition,Chris Colfer,4.7,1614.0,500,The Land of Stories: The Wishing Spell: Booktrack Edition adds an immersive musical soundtrack to your audiobook listening experience! *,8 hours and 59 minutes,",#2,624 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Fiction on Siblings for Children,#20 in Action & Adventure Fantasy for Children,#25 in Family Life Fiction for Children",539,"['Fiction on Siblings for Children', 'Action & Adventure Fantasy for Children', 'Family Life Fiction for Children']",Fiction on Siblings for Children,The Land of Stories: The Wishing Spell: Booktrack Edition adds an immersive musical soundtrack to your audiobook listening experience! * Fiction on Siblings for Children Chris Colfer
The Game,Neil Strauss,4.3,1611.0,797,"The Game recounts the incredible adventures of the everyday man who transforms himself from a shy, awkward writer into the quick-witted, smooth-talking Style, a character irresistible to women. But just when life is better than he could have ever dreamed (he uses his techniques on Britney Spears, receives life coaching from Tom Cruise, moves into a mansion with Courtney Love, and is officially voted the World's Number One Pickup Artist), he falls head over heels for a woman who can beat him at his own game.",9 hours and 27 minutes,",#927 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#97 in Biographies & Memoirs (Audible Audiobooks & Originals),#1,116 in Biographies & Autobiographies (Books)",567,[],Other,"The Game recounts the incredible adventures of the everyday man who transforms himself from a shy, awkward writer into the quick-witted, smooth-talking Style, a character irresistible to women. But just when life is better than he could have ever dreamed (he uses his techniques on Britney Spears, receives life coaching from Tom Cruise, moves into a mansion with Courtney Love, and is officially vot Other Neil Strauss"
I Can't Make This Up: Life Lessons,Neil Strauss - contributor,4.7,1610.0,1003,"Superstar comedian and Hollywood box-office star Kevin Hart turns his immense talent to the written word by writing some words. Some of those words include: the, a, for, above, and even even. Put them together and you have the funniest, most heartfelt, and most inspirational memoir on survival, success, and the importance of believing in yourself since Old Yeller.",11 hours and 15 minutes,",#964 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Biographies of Comedians,#80 in Cinema & Broadcast (Books),#168 in Personal Success",675,"['Biographies of Comedians', 'Cinema & Broadcast (Books)', 'Personal Success']",Biographies of Comedians,"Superstar comedian and Hollywood box-office star Kevin Hart turns his immense talent to the written word by writing some words. Some of those words include: the, a, for, above, and even even. Put them together and you have the funniest, most heartfelt, and most inspirational memoir on survival, success, and the importance of believing in yourself since Old Yeller. Biographies of Comedians Neil Strauss - contributor"
Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,4.7,1598.0,754,"Inspired by this stone and intrigued by the lore of Sparta, author Steven Pressfield has brilliantly combined scholarship with storytelling. Narrated by the sole survivor of the epic battle, a squire in the Spartan heavy infantry, Gates of Fire is a mesmerizing depiction of one man's indoctrination into the Spartan way of life and death, and of the legendary men and women who gave the culture an immortal gravity. Culminating in the electrifying and horrifying epic battle, Gates of Fire weaves history, mystery, and heartbreaking romance into a literary tale that brings the Homeric tradition into the 21st century.",6 hours and 15 minutes,",#4,772 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Military Thrillers,#26 in War & Military Fiction,#173 in Historical Fiction (Audible Audiobooks & Originals)",375,"['Military Thrillers', 'War & Military Fiction']",Military Thrillers,"Inspired by this stone and intrigued by the lore of Sparta, author Steven Pressfield has brilliantly combined scholarship with storytelling. Narrated by the sole survivor of the epic battle, a squire in the Spartan heavy infantry, Gates of Fire is a mesmerizing depiction of one man's indoctrination into the Spartan way of life and death, and of the legendary men and women who gave the culture an i Military Thrillers Steven Pressfield"
The Hero with a Thousand Faces,Joseph Campbell,4.6,1592.0,1005,"Since its release in 1949, The Hero with a Thousand Faces has influenced millions of readers by combining the insights of modern psychology with Joseph Campbell's revolutionary understanding of comparative mythology. In this book, Campbell outlines the Hero's Journey, a universal motif of adventure and transformation that runs through virtually all of the world's mythic traditions. He also explores the Cosmogonic Cycle, the mythic pattern of world creation and destruction.",14 hours and 37 minutes,",#1,599 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Folklore & Mythology Studies,#2 in Freudian Theory,#6 in Mythology & Folklore Encyclopedias",877,"['Folklore & Mythology Studies', 'Freudian Theory', 'Mythology & Folklore Encyclopedias']",Folklore & Mythology Studies,"Since its release in 1949, The Hero with a Thousand Faces has influenced millions of readers by combining the insights of modern psychology with Joseph Campbell's revolutionary understanding of comparative mythology. In this book, Campbell outlines the Hero's Journey, a universal motif of adventure and transformation that runs through virtually all of the world's mythic traditions. He also explore Folklore & Mythology Studies Joseph Campbell"
The Smartest Giant in Town,Julia Donaldson,4.8,1589.0,323,"The Smartest Giant in Town audiobook, read by actors Imelda Staunton, Jim Carter and Steven Pacey, brings to life the friendly giant and all the little animals in this tale from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. This audiobook edition also includes a song and a read-along track.",30 minutes,",#4,416 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Stories in Verse for Children,#10 in Dragons & Mythical Creatures Fantasy for Children,#22 in Fiction on Friendship for Children",30,"['Stories in Verse for Children', 'Dragons & Mythical Creatures Fantasy for Children', 'Fiction on Friendship for Children']",Stories in Verse for Children,"The Smartest Giant in Town audiobook, read by actors Imelda Staunton, Jim Carter and Steven Pacey, brings to life the friendly giant and all the little animals in this tale from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. This audiobook edition also includes a song and a read-along track. Stories in Verse for Children Julia Donaldson"
The Goal: A Process of Ongoing Improvement - 30th Anniversary Edition,Eliyahu M. Goldratt,4.6,1586.0,937,"In this intriguing business novel, which illustrates state-of-the-art economic theory, Alex Rogo is a UniCo plant manager whose factory and marriage are failing. To revitalize the plant, he follows piecemeal advice from an elusive former college professor who teaches, for example, that reduction in the efficiency of some plant operations may make the entire operation more productive. Alex's attempts to find the path to profitability and to engage his employees in the struggle involve the listener; and thankfully the authors' economic models, including a game with matchsticks and bowls, are easy to understand. Although some characters are as anonymous as the goods manufactured in the factory, others ring true. In addition, the tender story of Alex and his wife's separation and reconciliation makes a touching contrast to the rest of the book. Recommended for anyone with an interest in the state of the American economy.",-1,-1,0,[],Other,"In this intriguing business novel, which illustrates state-of-the-art economic theory, Alex Rogo is a UniCo plant manager whose factory and marriage are failing. To revitalize the plant, he follows piecemeal advice from an elusive former college professor who teaches, for example, that reduction in the efficiency of some plant operations may make the entire operation more productive. Alex's attemp Other Eliyahu M. Goldratt"
It's OK That You're Not OK: Meeting Grief and Loss in a Culture That Doesn't Understand,Megan Devine,4.7,1584.0,492,A New Resource for Those Experiencing Loss,-1,-1,0,[],Other,A New Resource for Those Experiencing Loss Other Megan Devine
High Performance Habits: How Extraordinary People Become That Way,Brendon Burchard,4.6,1583.0,750,These six habits will make you extraordinary.,10 hours and 35 minutes,",#1,275 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#20 in Stress Management,#50 in Personal Finance,#135 in Personal Success in Business",635,"['Stress Management', 'Personal Finance', 'Personal Success in Business']",Stress Management,These six habits will make you extraordinary. Stress Management Brendon Burchard
